Date,Open,High,Low,Close,Adj Close,Volume,r(t)
2022/2/18,169.820007,170.539993,166.190002,167.300003,167.300003,82614200,-0.009399807
2022/2/17,171.029999,171.910004,168.470001,168.880005,168.880005,69589300,-0.021498634
2022/2/16,171.850006,173.339996,170.050003,172.550003,172.550003,61177400,-0.001389877
2022/2/15,170.970001,172.949997,170.25,172.789993,172.789993,64286300,0.022888511
2022/2/14,167.369995,169.580002,166.559998,168.880005,168.880005,86062800,0.001422174
2022/2/11,172.330002,173.080002,168.039993,168.639999,168.639999,98566000,-0.020425619
2022/2/10,174.139999,175.479996,171.550003,172.119995,172.119995,90865900,-0.023881755
2022/2/9,176.050003,176.649994,174.899994,176.279999,176.279999,71285000,0.00825955
2022/2/8,171.729996,175.350006,171.429993,174.830002,174.830002,74829200,0.018298285
2022/2/7,172.860001,173.949997,170.949997,171.660004,171.660004,77251200,-0.004243547
2022/2/4,171.679993,174.100006,170.679993,172.389999,172.389999,82391400,-0.002954012
2022/2/3,174.479996,176.240005,172.119995,172.899994,172.679993,89418100,-0.01686111
2022/2/2,174.75,175.880005,173.330002,175.839996,175.616257,84914300,0.007019547
2022/2/1,174.009995,174.839996,172.309998,174.610001,174.387817,86213900,-0.000973113
2022/1/31,170.160004,175,169.509995,174.779999,174.557602,115541600,0.025790291
2022/1/28,165.710007,170.350006,162.800003,170.330002,170.113266,179935700,0.067450844
2022/1/27,162.449997,163.839996,158.279999,159.220001,159.01741,121954600,-0.002947548
2022/1/26,163.5,164.389999,157.820007,159.690002,159.486801,108275300,-0.000563414
2022/1/25,158.979996,162.759995,157.020004,159.779999,159.576691,115798400,-0.011450007
2022/1/24,160.020004,162.300003,154.699997,161.619995,161.414337,162294600,-0.004876157
2022/1/21,164.419998,166.330002,162.300003,162.410004,162.203354,122848900,-0.012847301
2022/1/20,166.979996,169.679993,164.179993,164.509995,164.300659,91420500,-0.010401019
2022/1/19,170,171.080002,165.940002,166.229996,166.018478,94815000,-0.021248944
2022/1/18,171.509995,172.539993,169.410004,169.800003,169.583939,90956700,-0.019074886
2022/1/14,171.339996,173.779999,171.089996,173.070007,172.849792,80355000,0.005097647
2022/1/13,175.779999,176.619995,171.789993,172.190002,171.970901,84505800,-0.019211433
2022/1/12,176.119995,177.179993,174.820007,175.529999,175.306641,74805200,0.002566939
2022/1/11,172.320007,175.179993,170.820007,175.080002,174.857224,76138300,0.016644494
2022/1/10,169.080002,172.5,168.169998,172.190002,171.970901,106765600,0.000116181
