dist,bones,hr_wage,hr_sleep,salary,bpm,travel,class,car,coffee,academ_level,academ_year,residence,grad_plans,musician
98,1,12,6,"150,000",75,Yes,STAT 212 at 11am,No,Yes,Junior,3,Some other residence,Graduate School,Brent faiyaz
160,0,12,9.5,115000,65,Yes,STAT 212 at 11am,No,Yes,Junior,3,Some other residence,A Job,Beabadoobee
789.5,0,12,7,70000,78,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,A Job,Beatles
54,0,13,8,200000,60,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,A Job,Drake
118,2,13,8.5,200000,67,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Something else,Lil Uzi Vert
120,3,13,10,120000,80,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,PA School,The Strokes
140,0,13,7.5,150000,60,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Medical School,Kendrick Lamar
8500,0,13,9,200000,63,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,A Job,Drake
149.6,0,13.5,8,"450,000",70,No,STAT 212 at 11am,No,No,Junior,3,Some other residence,Medical School,Bad Bunny
0,0,14,8,95000,86,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Medical School,Camila Cabello
98,0,14,6.5,300000,68,Yes,STAT 212 at 11am,Yes,Yes,Junior,3,Some other residence,Dental School,Daft Punk
140,1,14,7,"110,000",60,No,STAT 212 at 11am,Yes,Yes,Junior,3,Some other residence,Graduate School,JID
150,0,14,6,"300,000",60,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,Medical School,Khalid
150,1,14,4.5,100000,70,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,A Job,The Lumineers
890,4,14,6,300000,70,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,Medical School,drake
20,0,15,6,"90,000",76,No,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,A Job,Bazzi
89,0,15,5,500000,54,Yes,STAT 212 at 11am,No,No,Junior,3,Dorm Room,Medical School,drake
100,0,15,10,"1,000,000",60,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,Graduate School,Rihanna
120,0,15,8.5,0,83,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,A Job,Sia
123,1,15,5,300000,60,Yes,STAT 212 at 11am,No,No,Junior,3,Dorm Room,Dental School,Bruno Mars
130,0,15,6,200000,68,Yes,STAT 212 at 11am,Yes,Yes,Junior,3,Some other residence,Dental School,Role Model
135,1,15,6.5,1000000000,65,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Something else,Gunna
140,2,15,9,110000,73,Yes,STAT 212 at 11am,No,Yes,Junior,3,Some other residence,Something else,Hippocampus
140,0,15,8.5,150000,140,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,Medical School,Eric Nam
145,0,15,9,100000,73,Yes,STAT 212 at 11am,No,Yes,Junior,3,Some other residence,PA School,Tame Impala
145,2,15,6,300000,57,Yes,STAT 212 at 11am,Yes,No,Junior,3,Dorm Room,Dental School,J. Cole
149,0,15,8,65000,70,No,STAT 212 at 11am,No,Yes,Junior,3,Dorm Room,Graduate School,"Matthieu Chedid, -M-"
150,0,15,5.2,600000,65,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Medical School,Nardo Wick
200,0,15,8,"100,000",60,No,STAT 212 at 11am,No,Yes,Junior,3,Some other residence,Graduate School,Talking Heads
200,0,15,7.5,120000,80,Yes,STAT 212 at 11am,Yes,Yes,Junior,3,Some other residence,PA School,SZA
238,1,15,10,250000,60,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Medical School,Yoasobi
4000,3,15,10,"150,000",66,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Graduate School,Artic Monkeys
137,,15.75,8,70000,70,No,STAT 212 at 11am,No,No,Junior,3,Some other residence,Medical School,SZA
150,0,16,5.5,400000,74,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,Graduate School,Drake
170,0,18,9,100000,65,No,STAT 212 at 11am,No,No,Junior,3,Some other residence,A Job,Greta Van Fleet
89.4,1,20,6,"300,000",76,Yes,STAT 212 at 11am,No,Yes,Junior,3,Some other residence,Graduate School,Kanye
150,5,20,7.5,240000,90,Yes,STAT 212 at 11am,Yes,Yes,Junior,3,Some other residence,Medical School,denzel curry
162,0,20,6.5,392000,71,Yes,STAT 212 at 11am,Yes,Yes,Junior,3,Dorm Room,Medical School,Dominic Fike
145,1,25,7,"150,000",77,Yes,STAT 212 at 11am,Yes,No,Junior,3,Some other residence,Graduate School,Doja Cat
131,1,60,8,200000,80,Yes,STAT 212 at 11am,No,No,Junior,3,Some other residence,Medical School,Taylor Swift
120,0,10,7,70000,90,Yes,STAT 212 at 11am,Yes,Yes,Senior or grad student,4,Some other residence,Graduate School,Mogwai
160,0,10,8,90000,80,No,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,A Job,Billie Eilish
7866,0,10.5,6,50000,69,Yes,STAT 212 at 11am,No,No,Senior or grad student,4,Some other residence,Graduate School,Jay Chou
16,2,12.5,8,70969,66,No,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,Graduate School,Mitski
200,0,13,7,100000,72,Yes,STAT 212 at 11am,Yes,Yes,Senior or grad student,4,Some other residence,Graduate School,Kacey Musgraves
144,0,13.5,7,85000,60,Yes,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,Graduate School,Mac Demarco
0,2,15,8,70000,60,Yes,STAT 212 at 11am,No,No,Senior or grad student,4,Some other residence,Graduate School,Freddie Gibbs
4.1,0,15,6,25000,64,Yes,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,Medical School,JID
100,1,15,7,250000,70,No,STAT 212 at 11am,Yes,Yes,Senior or grad student,4,Some other residence,Graduate School,Drive-by Truckers
125,0,15,6,100000,54,Yes,STAT 212 at 11am,No,No,Senior or grad student,4,Some other residence,Graduate School,Sade
125,1,15,6,90000,79,No,STAT 212 at 11am,No,No,Senior or grad student,4,Some other residence,Graduate School,AJR
2063,0,15,2.9,150000,78,Yes,STAT 212 at 11am,Yes,Yes,Senior or grad student,4,Some other residence,Medical School,Pepe Aguilar
300,0,16,6.5,"300,000",104,Yes,STAT 212 at 11am,Yes,Yes,Senior or grad student,4,Some other residence,A Job,A Tribe Called Quest
48.6,0,16.5,6.5,"750,000",63,Yes,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,PA School,Damian Marley
0,0,20,8,300000,90,No,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,Medical School,Beyonce
141.1,0,20,9,200000,75,Yes,STAT 212 at 11am,Yes,Yes,Senior or grad student,4,Some other residence,A Job,Young Dolph
151,0,20,8,100000,78,Yes,STAT 212 at 11am,Yes,No,Senior or grad student,4,Some other residence,PA School,Stevie Wonder
180,4,10,2.9,"70,000",90,Yes,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Medical School,Zach Bryan
49,0,12,7,30000,90,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,A Job,AURORA
50,4,12,6,350000,55,No,STAT 212 at 11am,Yes,No,Sophomore,2,Dorm Room,Medical School,Jax
125,1,12,7,500000,70,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Dorm Room,Medical School,Maroon 5
127,0,12,9,200000,55,Yes,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Graduate School,Joji
135,1,12,6,"120,000",80,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,A Job,Cage the Elephant
138,0,12,8,31000,72,No,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Something else,Tame impala
200,0,12,9,70000,92,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,NIKI
5,0,13,7.5,"100,000",75,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,Bjork
45,0,13,6,100000,88,No,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Fleetwood Mac
50,1,13,7,"80,000",70,No,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,A Job,The Flaming Lips
100,0,13,8,"270,000",130,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Medical School,Taylor swift
115,0,13,6.5,1000000,84,No,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,Jamiroquai
115,2,13,8,100000,81,No,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,Medical School,Nothing But Thieves
119,0,13,7,,88,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Dorm Room,Medical School,lil durk
120,0,13,6,"220,000",84,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Medical School,Adele
130,0,13,6,"150,000",72,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,the weeknd
136,1,13,11,"80,000",65,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Something else,Lana Del Ray
140,7,13,6,400000,66,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,kendrick lamar
153,0,13,6,"90,000",65,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,Ado
200,0,13,8,90000,72,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,The Weeknd
135,1,13.5,7.3,"200,000",74,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,Beyonce
142.1,0,13.5,5.5,"90,000",73,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,DJO
815,1,13.5,8,"400,000",77,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,Mac Miller
51,0,14,8,"212,925",72,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,Medical School,Lana Del Ray
55,1,14,7.5,"80,000",75,No,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Graduate School,Glass Animals
82,0,14,8.5,"250,000",89,No,STAT 212 at 11am,Yes,No,Sophomore,2,Dorm Room,Something else,Nirvana
100,0,14,7,"200,000",20,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Camila Cabello
109,0,14,,80000,120,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,A Job,Wilco
110,0,14,6,300000,100,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Bruno Mars
115,0,14,8,"250,000",85,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Medical School,Lana Del Ray
125,0,14,7,"120,000",57,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,Medical School,Taylor Swift
132,0,14,7,"180,000",96,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Dental School,Megan Thee Stallion
137,3,14,5,200,58,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,the piano guys
140,0,14,7.5,150000,80,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,A Job,Harry Styles
140,0,14,7.5,150000,80,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,A Job,Harry Styles
145,0,14,5.5,250000,65,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Dental School,Harry Styles
145,8,14,6.5,115000,86,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,A Job,Trippie Redd
150,0,14,7,"200,000",80,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Old Dominion
150,0,14,7,300000,70,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,Bad Bunny
50,0,14.5,6,180000,90,No,STAT 212 at 11am,Yes,No,Sophomore,2,Dorm Room,Medical School,durk
121.6,0,14.5,6.75,200000,67,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Alie Gatie
150,0,14.5,8,"600,000",55,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,Cigarette After Sex
165,2,14.5,6.5,"100,000",66,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,NIKI
100,0,15,7,"350,000",58,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Rex Orange County
101,1,15,7,100000,90,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Something else,Oasis
111,2,15,6,120000,75,Yes,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,PA School,Taylor Swift
113,1,15,7.5,100000000,75,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Dental School,Future
115,0,15,8,100000,68,No,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,Graduate School,Nothing But Thieves
120,0,15,6,130000,79,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,A Job,Ghostemane
120.1,0,15,7.9,"160,000",75,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,La Rosal¨ªa
124,0,15,7,150000,60,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,PA School,Chief Keef
125,0,15,7.1,"70,000",91,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,Arctic Monkeys
135,2,15,8,100000,75,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Taylor swift
135,1,15,8.2,"200,000",73,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Ludovico Einaudi
137,0,15,7,"110,000",72,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,PA School,Drake
140,3,15,7.5,"250,000",68,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Graduate School,Justin Bieber
140,1,15,7.5,100000,71,No,STAT 212 at 11am,Yes,Yes,Sophomore,2,Some other residence,Medical School,Scarlet Demore
140,4,15,7,100000,58,No,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Something else,lil uzi vert
143,0,15,5.5,"300,000",90,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Lana Del Ray
143,1,15,0,500000,67,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Dental School,2Pac
149,0,15,7,"100,000",72,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,PA School,doja cat
150,0,15,8,150,85,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,Mitski
150,0,15,7,"400,000",68,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,Drake
150,0,15,7,"70,000",70,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,Rae Sremmurd
155,1,15,8.3,120000,67,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,Bad Bunny
166,0,15,12,300000,91,No,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Medical School,bob Marley
170,0,15,4,100000,130,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,Rex Orange County
2000,1,15,9,100000,80,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Graduate School,Frank ocean
6563,1,15,5,100000,60,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Medical School,Akdong musician
8000,0,15,8,0,70,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,Hoshino Gen
2,1,16,5.5,1000000,76,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,A Job,J Cole
90,0,16,5.5,150000,76,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Medical School,Bad Bunny
110,0,16,4,150000,74,No,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,Pierre Bourne
136,0,16,6.5,62000,75,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,The Strokes
138,3,16,6.5,"400,000",66,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,Kendrick Lamar
145,0,16,8,100000,68,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Something else,Rod Wave
150,0,16,3.5,"180,000",58,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Kanye
2109.6,0,16,9.5,200000,80,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Medical School,Taylor Swift
151,0,16.5,7,200000,72,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,Beatles
200,0,17,7,"200,000.00",53,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Medical School,Coldplay
113,0,18,8,75000,76,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,Dental School,Tyler the Creator
1813,0,18,9,400000,65,Yes,STAT 212 at 11am,No,No,Sophomore,2,Dorm Room,Graduate School,DeBarge
137,0,18.5,9,"250,000",75,Yes,STAT 212 at 11am,Yes,No,Sophomore,2,Some other residence,Dental School,POP SMOKE
136,0,20,8,400000,64,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Medical School,eminem
141,0,20,7.3,"90,000",66,No,STAT 212 at 11am,Yes,No,Sophomore,2,Dorm Room,Medical School,Foster The People
840,1,20,7.5,"200,000",72,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Some other residence,Medical School,Taylor Swift
6600,1,20,7,"100,000",70,Yes,STAT 212 at 11am,No,Yes,Sophomore,2,Dorm Room,Medical School,Coldplay
1,1,,7,80000,81,Yes,STAT 212 at 11am,No,No,Sophomore,2,Some other residence,Graduate School,BTS
11350,0,1.84,7.5,54000,84,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,A Job,Nightwish
109,0,12,8.5,300000,68,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Medical School,Imagine Dragons
145,0,12,7,130,70,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Graduate School,Laufey
176.3,0,12,9,300000,75,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Taylor Swift
150,0,12.5,9,300000,72,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Dayglow
154,0,12.5,6.5,50000,67,No,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,ClariS
0,2,13,8,61479,38,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,BTS
117,0,13,6.5,1000000,73,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Medical School,Kanye
124,3,13,9,"300,000",65,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Graduate School,21 savage
130,2,13,8,"150,000",75,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,A Job,Machine Gun Kelly
167,0,13,5,"200,000",75,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Medical School,The Weeknd
185,0,13,8.5,100000,97,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Graduate School,Lana del Rey
200,1,13,7.5,120000,48,Yes,STAT 212 at 12pm,Yes,No,Freshman,1,Dorm Room,Medical School,"One direction 
"
163,3,13.5,7.5,"70,000",73,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Kanye West
125,0,14,7.5,"300,000",55,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Medical School,Lana Del Rey
150,1,14,8.5,250000,71,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Medical School,kanye
169.8,0,14,5,40000,84,No,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Something else,Lana Del Rey
,115,14,7.5,130000,71,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,PA School,Luke Bryan
168,0,15,9.75,"80,000",57,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Graduate School,Madison Beer
200,0,15,5,500000,72,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Harry Styles
"2,000",1,15,6,"150,000",67,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,Graduate School,Juice Wrld
2166,0,15,10,60000,96,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Glass Animals
7500,0,15,8.5,200000,65,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Graduate School,Cecile Corbel
8500,3,15,7,1000000,80,Yes,STAT 212 at 12pm,No,Yes,Freshman,1,Dorm Room,A Job,ColdPlay
164,1,17,7,400000,92,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Frank Ocean
115,1,18,9.5,"500,000",60,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Medical School,Lil baby
2150,0,18,7.4,1500000,66,Yes,STAT 212 at 12pm,No,No,Freshman,1,Dorm Room,Graduate School,
115,5,7.25,7.5,400000,87,No,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,Tame Impala
1,0,12,12,1000000,67,Yes,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,A Job,Jay Chou
110,0,12,8.5,"60,000",72,Yes,STAT 212 at 12pm,Yes,Yes,Junior,3,Some other residence,Medical School,ABBA
123,0,12,5,"400,000",90,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,Kanye
1,0,13,6,3600000,65,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Graduate School,LiSA
140,2,13,9.5,1000000,80,Yes,STAT 212 at 12pm,No,Yes,Junior,3,Some other residence,A Job,Denzel Curry
150,0,13,7,"65,000",70,No,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Dental School,harry styles
6620,1,13,7,"90,000",77,Yes,STAT 212 at 12pm,No,No,Junior,3,Dorm Room,Graduate School,Why Don't We
7233,2,13,7,200000,80,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Graduate School,The eagles
47.5,1,14,7,"120,000",76,No,STAT 212 at 12pm,Yes,No,Junior,3,Dorm Room,Medical School,Greenday
130,2,14,6.25,100000,72,Yes,STAT 212 at 12pm,No,No,Junior,3,Dorm Room,Graduate School,tame impala
150,0,14,7.5,300000,68,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Dental School,ZHU
150,0,14,5.2,120000,52,Yes,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,A Job,Dua Lipa
170,0,14,7.5,200000,70,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,Maroon 5
159,2,14.5,8.6,"313,100",84,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,The Lumineers
108,0,15,8.5,200000,74,Yes,STAT 212 at 12pm,No,Yes,Junior,3,Some other residence,Medical School,TXT
120,0,15,7,150000,84,Yes,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Graduate School,kenshi yonezu
130,0,15,4.5,55000,66,No,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Graduate School,"The Backseat Lovers
"
135,0,15,6,200000,60,No,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Medical School,Beyonce
135.4,0,15,7.5,"150,000",90,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,Joe Hisaishi
141,0,15,7.5,"350,000",92,No,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,The Neighbourhood
144,0,15,9,"60,000",65,No,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Graduate School,EDEN
150,0,15,6,350000,66,No,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Medical School,Taylor Swift
150,0,15,6.5,250000,79,Yes,STAT 212 at 12pm,No,No,Junior,3,Dorm Room,Medical School,Zayn
150,0,15,7,70000,70,Yes,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Graduate School,Post Malone
153.1,0,15,6,300000,73,Yes,STAT 212 at 12pm,No,Yes,Junior,3,Some other residence,Medical School,joji
153.3,0,15,7,250000,55,Yes,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,Graduate School,Lukas Graham
170,3,15,7,"170,000",63,Yes,STAT 212 at 12pm,Yes,Yes,Junior,3,Some other residence,Medical School,Zach Bryan
180,1,15,4.5,150000,68,Yes,STAT 212 at 12pm,Yes,Yes,Junior,3,Some other residence,Graduate School,Johann Bach
500,3,15,9.5,250000,50,Yes,STAT 212 at 12pm,Yes,No,Junior,3,Some other residence,A Job,Hilltop Hoods
2200,0,15,8,100000,110,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Graduate School,Childish Gambino
6959.3574,0,15,7,"100,000",80,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Graduate School,Ariana Grande
150,1,15.5,8.4,678000,76,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,Neffex
105,0,16,6.5,100000,84,Yes,STAT 212 at 12pm,No,No,Junior,3,Dorm Room,Graduate School,Billie Eilish
110,2,16,8.5,200000,68,No,STAT 212 at 12pm,Yes,Yes,Junior,3,Some other residence,Medical School,The Killers
160,2,17,8.5,"200,000",59,Yes,STAT 212 at 12pm,Yes,Yes,Junior,3,Some other residence,Medical School,Still Woozy
215,2,17,7.5,360000,75,Yes,STAT 212 at 12pm,No,No,Junior,3,Some other residence,Medical School,Taylor Swift
100,0,18,6,90000,49,No,STAT 212 at 12pm,No,Yes,Junior,3,Dorm Room,Graduate School,Machine Gun Kelly
100,2,10,8,1000000,75,No,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,A Job,GANG GREEN
107,2,13,7.5,"90,000",55,No,STAT 212 at 12pm,Yes,Yes,Senior or grad student,4,Some other residence,Graduate School,Taylor Swift
270,2,13,8,"100,000",87,Yes,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,Graduate School,Faye Webster
6425,2,13,7,"150,000",69,Yes,STAT 212 at 12pm,No,Yes,Senior or grad student,4,Dorm Room,Graduate School,post malone
10000,2,13,8,300000,70,Yes,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,Graduate School,Lauv
100,2,14,7,180,60,Yes,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,A Job,Glass Animals
150,2,14,9,65000,78,Yes,STAT 212 at 12pm,Yes,Yes,Senior or grad student,4,Some other residence,Graduate School,Beyonce
120,2,15,7.5,150000,85,No,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,Something else,Beyonc¨¦
172,2,15,4,"150,000",52,Yes,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,Dental School,Bad Bunny <3
190,2,15,8,500000,73,No,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,Graduate School,Tchaikovsky
867,2,15,8.5,80000,88,Yes,STAT 212 at 12pm,Yes,Yes,Senior or grad student,4,Dorm Room,Graduate School,FINNEAS
"4,500",2,16,6,"100,000",58,Yes,STAT 212 at 12pm,No,Yes,Senior or grad student,4,Some other residence,Something else,Linkin Park
160,2,20,6.5,"150,000",72,Yes,STAT 212 at 12pm,Yes,No,Senior or grad student,4,Some other residence,Graduate School,ACDC
"10,000",2,20,6.5,"100,000",84,Yes,STAT 212 at 12pm,No,No,Senior or grad student,4,Dorm Room,A Job,Taylor Swift
125,0,10,7,70000,70,Yes,STAT 212 at 12pm,No,Yes,Sophomore,2,Dorm Room,Graduate School,Tame Impala
134,0,11,8,1000000,85,Yes,STAT 212 at 12pm,No,No,Sophomore,2,Dorm Room,Graduate School,ace of hearts
140,0,11,5.3,125000,62,Yes,STAT 212 at 12pm,No,Yes,Sophomore,2,Some other residence,Medical School,Tyler The Creator
